"distribucion";"n";"delta";"metodo";"varianza";"tasa";"prob_elegir_t"
2;10;0;"wilcoxon";1;0,0402;0,3101
2;10;0;"perverso";1;0,0456;0,3101
2;10;0;"t_test";4;0,0709;0,3123
2;10;0;"wilcoxon";4;0,1166;0,3123
2;10;0;"perverso";4;0,1179;0,3123
2;10;0;"t_test";16;0,0946;0,3093
2;10;0;"wilcoxon";16;0,1733;0,3093
2;10;0;"perverso";16;0,169;0,3093
2;10;0,2;"t_test";1;0,0626;0,3055
2;10;0,2;"wilcoxon";1;0,0856;0,3055
2;10;0,2;"perverso";1;0,092;0,3055
2;10;0,2;"t_test";4;0,044;0,3126
2;10;0,2;"wilcoxon";4;0,0691;0,3126
2;10;0,2;"perverso";4;0,0732;0,3126
2;10;0,2;"t_test";16;0,0761;0,3047
2;10;0,2;"wilcoxon";16;0,1427;0,3047
2;10;0,2;"perverso";16;0,1406;0,3047
2;10;0,5;"t_test";1;0,2187;0,3018
2;10;0,5;"wilcoxon";1;0,3068;0,3018
2;10;0,5;"perverso";1;0,3125;0,3018
2;10;0,5;"t_test";4;0,0517;0,3143
2;10;0,5;"wilcoxon";4;0,0498;0,3143
2;10;0,5;"perverso";4;0,062;0,3143
2;10;0,5;"t_test";16;0,0579;0,307
2;10;0,5;"wilcoxon";16;0,1017;0,307
2;10;0,5;"perverso";16;0,1022;0,307
2;20;0;"t_test";1;0,044;0,0253
2;20;0;"wilcoxon";1;0,0451;0,0253
2;20;0;"perverso";1;0,0466;0,0253
2;20;0;"t_test";4;0,0644;0,0249
2;20;0;"wilcoxon";4;0,1903;0,0249
2;20;0;"perverso";4;0,1903;0,0249
2;20;0;"t_test";16;0,075;0,0277
2;20;0;"wilcoxon";16;0,2817;0,0277
2;20;0;"perverso";16;0,2814;0,0277
2;20;0,2;"t_test";1;0,0975;0,0269
2;20;0,2;"wilcoxon";1;0,1646;0,0269
2;20;0,2;"perverso";1;0,1655;0,0269
2;20;0,2;"t_test";4;0,0492;0,031
2;20;0,2;"wilcoxon";4;0,1022;0,031
2;20;0,2;"perverso";4;0,1037;0,031
2;20;0,2;"t_test";16;0,0607;0,0318
2;20;0,2;"wilcoxon";16;0,2225;0,0318
2;20;0,2;"perverso";16;0,2234;0,0318
2;20;0,5;"t_test";1;0,3769;0,0268
2;20;0,5;"wilcoxon";1;0,5803;0,0268
2;20;0,5;"perverso";1;0,5801;0,0268
2;20;0,5;"t_test";4;0,1176;0,0233
2;20;0,5;"wilcoxon";4;0,0633;0,0233
2;20;0,5;"perverso";4;0,0668;0,0233
2;20;0,5;"t_test";16;0,0529;0,0264
2;20;0,5;"wilcoxon";16;0,1521;0,0264
2;20;0,5;"perverso";16;0,153;0,0264
2;50;0;"t_test";1;0,0478;0
2;50;0;"wilcoxon";1;0,0482;0
2;50;0;"perverso";1;0,0482;0
2;50;0;"t_test";4;0,0535;0
2;50;0;"wilcoxon";4;0,393;0
2;50;0;"perverso";4;0,393;0
2;50;0;"t_test";16;0,0634;0
2;50;0;"wilcoxon";16;0,5544;0
2;50;0;"perverso";16;0,5544;0
2;50;0,2;"t_test";1;0,1766;0
2;50;0,2;"wilcoxon";1;0,3449;0
2;50;0,2;"perverso";1;0,3449;0
